ticker,index_ticker,comment
AALB,AEX,Aalberts
ABN,AEX,ABN AMRO
ADYEN,AEX,Adyen
AGN,AEX,Aegon
AD,AEX,Ahold Delhaize
AKZA,AEX,Akzo Nobel
MT,AEX,ArcelorMittal
ASML,AEX,ASML
ASRNL,AEX,ASR Nederland
DSM,AEX,DSM
GLPG,AEX,Galapagos
HEIA,AEX,Heineken
IMCD,AEX,IMCD
INGA,AEX,ING Group
KPN,AEX,KPN
NN,AEX,Nationale Nederlanden
PHIA,AEX,Philips
PRX,AEX,Prosus
RAND,AEX,Randstad Holding
REN,AEX,RELX
RDSA,AEX,Royal Dutch Shell
URW,AEX,Unibail-Rodamco-Westfield
UNA,AEX,Unilever
WKL,AEX,Wolters Kluwer
VPK,AEX,Vopak
AF,AMX,Air France-KLM
ATC,AMX,Altice
AMG,AMX,AMG
APAM,AMX,Aperam
ARCAD,AMX,Arcadis
ASM,AMX,ASM International
BAMNB,AMX,Koninklijke BAM Groep
BFIT,AMX,Basic-Fit
BESI,AMX,BE Semiconductor
BOKA,AMX,Boskalis
CRBN,AMX,Corbion
ECMPA,AMX,Eurocommercial Properties
FLOW,AMX,Flow Traders
FUR,AMX,Fugro
GVNV,AMX,GrandVision
INTER,AMX,Intertrust
OCI,AMX,OCI
PNL,AMX,PostNL
SBMO,AMX,SBM Offshore
LIGHT,AMX,Signify
TWEKA,AMX,TKH Group
TOM2,AMX,TomTom
WDP,AMX,WDP
WHA,AMX,Wereldhave
ABI,BFX,Anheuser-Busch
INGA,BFX,ING Groep
ENGI,BFX,ENGIE
KBC,BFX,KBC Groep
UCB,BFX,UCB
GBLB,BFX,Group Bruxelles
SOLB,BFX,Solvay
UMI,BFX,Umicore
AGS,BFX,Ageas
GLPG,BFX,Galapagos
COLR,BFX,Colruyt
PROX,BFX,Proximus
SOF,BFX,Sofina
TNET,BFX,Telenet Group Holding
ACKB,BFX,Ackermans & Van Haar
APAM,BFX,Aperam
BPOST,BFX,Bpost
COFB,BFX,Cofinimmo
ONTEX,BFX,Ontex Group
BEKB,BFX,Bekaert
ADS,DAX,Adidas
ALV,DAX,Allianz
BAS,DAX,BASF
BAYN,DAX,Bayer
BEI,DAX,Beiersdorf
BMW,DAX,BMW
CON,DAX,Continental
1COV,DAX,Covestro
DAI,DAX,Daimler
DBK,DAX,Deutsche Bank
DB1,DAX,Deutsche Börse
LHA,DAX,Deutsche Lufthansa
DPW,DAX,Deutsche Post
DTE,DAX,Deutsche Telekom
EOAN,DAX,E.ON
FRE,DAX,Fresenius
FME,DAX,Fresenius Medical Care
HEI,DAX,HeidelbergCement
HEN3,DAX,Henkel
IFX,DAX,Infineon Technologies
LIN,DAX,Linde
MRK,DAX,Merck
MTX,DAX,MTU Aero Engines
MUV2,DAX,Munich Re
RWE,DAX,RWE
SAP,DAX,SAP
SIE,DAX,Siemens
VOW3,DAX,Volkswagen Group
VNA,DAX,Vonovia
WDI,DAX,Wirecard
AAPL,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
AXP,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
BA,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
CAT,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
CSCO,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
CVX,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
DIS,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
DOW,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
GS,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
HD,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
IBM,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
INTC,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
JNJ,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
JPM,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
KO,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
MCD,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
MMM,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
MRK,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
MSFT,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
NKE,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
PFE,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
PG,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
TRV,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
UNH,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
UTX,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
V,Dow Jones,Import all stocks in Dow Jones on 2020-01-29 16:15:08.071763
